id,sku,descricao,unidade,tipo,familia,marca,ncm,ean,peso_bruto,peso_liquido,altura,largura,profundidade,local_estoque,dias_crossdocking,estoque_erp,estoque_wms,estoque_real,estoque_minimo,preco_venda,preco_custo,movimenta_estoque,regra_expedicao,observacao,descricao_detalhada,codigo_integracao,embalagens,created_at,updated_at
bb000001-0000-0000-0000-000000000001,VPER-PNT-AL-22D-202X145-CT,Pente de Alumínio - 22 Dentes (202x145mm),PC,Componente,Peças de Elevadores,VerticalParts,84314990,7890000000003,0.850,0.780,202,145,15,R1_PP2_CL001_N001,0,1540,1538,1538,200,185.90,92.45,true,FIFO,Peça certificada ABNT,Pente de alumínio extrudado com 22 dentes para portas de elevadores. Dimensões 202x145mm. Material: AL 6061-T6.,4001003001,[],2025-01-10T08:00:00Z,2026-03-01T10:00:00Z
bb000001-0000-0000-0000-000000000002,VEPEL-BTI-JX02-CCS,Botoeira de Inspeção - Mod. JX02,PC,Eletroeletrônico,Componentes Elétricos,EPEL,85365010,7890000000001,0.250,0.220,80,60,45,R1_PP1_CL001_N003,0,450,450,450,100,78.50,39.25,true,FEFO,Verificar prazo de validade do lote,Botoeira de inspeção modelo JX02 com contato duplo. Tensão 24VDC. Certificação IP65.,4001003002,[],2025-01-12T08:00:00Z,2026-02-20T14:00:00Z
bb000001-0000-0000-0000-000000000003,VEPEL-BPI-174FX,Barreira de Proteção Infravermelha (174 Feixes),PC,Eletroeletrônico,Segurança Industrial,VerticalParts,85365010,789123456001,2.100,1.950,1200,80,60,R2_PP1_CL005_N001,3,85,80,80,20,1250.00,625.00,true,FIFO,,Barreira óptica de segurança com 174 feixes infravermelhos. Proteção de zona perigosa conforme EN 61496.,4001003003,[],2025-01-15T08:00:00Z,2026-02-25T09:00:00Z
bb000001-0000-0000-0000-000000000004,VPER-ESS-NY-27MM,Escova de Segurança (Nylon - Base 27mm),MT,Componente,Peças de Elevadores,VerticalParts,39269090,7891149108718,0.180,0.160,2000,27,25,R1_PP2_CL012_N002,0,320,318,318,50,42.00,21.00,true,FIFO,Vender somente em metros inteiros,Escova de segurança de nylon para guias de portas. Base 27mm. Vendida em metros lineares.,4001003004,[],2025-01-18T08:00:00Z,2026-03-05T11:00:00Z
bb000001-0000-0000-0000-000000000005,VPER-PAL-INO-1000,Pallet de Aço Inox (1000mm),PC,Estrutura,Equipamentos de Armazém,VerticalParts,73089000,789123456003,18.500,18.200,150,1000,1200,R2_PP2_CL001_N001,5,45,42,42,10,890.00,445.00,true,FIFO,,Pallet de aço inoxidável AISI 304. Capacidade 1500kg. Dimensões: 1000x1200x150mm.,4001003005,[],2025-01-20T08:00:00Z,2026-03-08T16:00:00Z
bb000001-0000-0000-0000-000000000006,VEPEL-LUM-LED-VRD-24V,Luminária em LED Verde 24V,PC,Eletroeletrônico,Sinalização,EPEL,94054090,7890000000002,0.650,0.580,250,80,80,R1_PP1_CL001_N004,0,200,198,198,40,125.00,62.50,true,FIFO,,Luminária de sinalização LED verde 24VDC. Grau de proteção IP54. Durabilidade 50.000h.,4001003006,[],2025-01-22T08:00:00Z,2026-02-28T08:00:00Z
bb000001-0000-0000-0000-000000000007,VPER-COR-ART-38MM,Correia Articulada - Largura 38mm,MT,Componente,Transmissão,VerticalParts,84833010,7890000000007,0.420,0.390,0,38,0,R3_PP1_CL002_N001,0,800,800,800,100,35.00,17.50,true,FIFO,Vender em metros,Correia articulada para sistemas de transporte. Largura 38mm. Material: aço carbono galvanizado.,4001003007,[],2025-02-01T08:00:00Z,2026-03-01T08:00:00Z
bb000001-0000-0000-0000-000000000008,VPER-MOT-TRI-3CV,Motor Elétrico Trifásico 3CV,PC,Motor,Eletromecânicos,WEG,85016210,7890000000008,22.000,21.500,350,250,300,R2_PP3_CL008_N002,7,12,12,12,3,1850.00,925.00,true,FIFO,Produto com alto valor - conferência dupla obrigatória,Motor elétrico trifásico 3CV 4 polos 1760rpm. Carcaça 100L. IP55. 220/380V.,4001003008,[],2025-02-05T08:00:00Z,2026-02-15T14:00:00Z
bb000001-0000-0000-0000-000000000009,VPER-RET-NBR-125X3,Retentores NBR 125x3mm,KIT,Componente,Vedação,Parker,40169390,7890000000009,0.050,0.045,5,125,15,R1_PP1_CL003_N001,0,2500,2498,2498,500,8.50,4.25,true,FEFO,Controlar validade - elastômero degrada,Retentor NBR para aplicações industriais. Diâmetro 125mm espessura 3mm. Resistente a óleos.,4001003009,[],2025-02-10T08:00:00Z,2026-03-10T09:00:00Z
bb000001-0000-0000-0000-000000000010,VPER-ROL-FAD-6205,Rolamento de Esferas 6205-2RS,PC,Componente,Rolamentos,SKF,84821010,7890000000010,0.130,0.120,15,52,15,R1_PP1_CL004_N001,0,950,948,948,150,28.00,14.00,true,FIFO,,Rolamento de uma carreira de esferas 6205-2RS vedado a óleo. Capacidade 10kN. Fabricante SKF.,4001003010,[],2025-02-15T08:00:00Z,2026-03-09T11:00:00Z
